player_id,player,position,team,conference,category,stat_type,stat
136743,Spencer Larsen,WR,Arizona,Pac-10,interceptions,AVG,0.0
136743,Spencer Larsen,WR,Arizona,Pac-10,interceptions,INT,1
136743,Spencer Larsen,WR,Arizona,Pac-10,interceptions,TD,0
136743,Spencer Larsen,WR,Arizona,Pac-10,interceptions,YDS,0
148058,Mike Jones,LB,Western Michigan,Mid-American,kicking,FGA,1
148058,Mike Jones,LB,Western Michigan,Mid-American,kicking,FGM,1
148058,Mike Jones,LB,Western Michigan,Mid-American,kicking,LONG,22
148058,Mike Jones,LB,Western Michigan,Mid-American,kicking,PCT,1.000
148058,Mike Jones,LB,Western Michigan,Mid-American,kicking,PTS,3
148058,Mike Jones,LB,Western Michigan,Mid-American,kicking,XPA,0
148058,Mike Jones,LB,Western Michigan,Mid-American,kicking,XPM,0
159665,Willie Young,DE,NC State,ACC,interceptions,AVG,34.0
159665,Willie Young,DE,NC State,ACC,interceptions,INT,1
159665,Willie Young,DE,NC State,ACC,interceptions,TD,1
159665,Willie Young,DE,NC State,ACC,interceptions,YDS,34
160327,Robert Henson,DT,TCU,Mountain West,puntReturns,AVG,3.0
160327,Robert Henson,DT,TCU,Mountain West,puntReturns,LONG,3
160327,Robert Henson,DT,TCU,Mountain West,puntReturns,NO,1
160327,Robert Henson,DT,TCU,Mountain West,puntReturns,TD,0
160327,Robert Henson,DT,TCU,Mountain West,puntReturns,YDS,3
161305,Trevard Lindley,CB,Kentucky,SEC,interceptions,AVG,0.0
161305,Trevard Lindley,CB,Kentucky,SEC,interceptions,INT,2
161305,Trevard Lindley,CB,Kentucky,SEC,interceptions,TD,0
161305,Trevard Lindley,CB,Kentucky,SEC,interceptions,YDS,0
161972,Anthony Brown,DL,Arkansas,SEC,puntReturns,AVG,16.0
161972,Anthony Brown,DL,Arkansas,SEC,puntReturns,LONG,16
161972,Anthony Brown,DL,Arkansas,SEC,puntReturns,NO,1
161972,Anthony Brown,DL,Arkansas,SEC,puntReturns,TD,0
161972,Anthony Brown,DL,Arkansas,SEC,puntReturns,YDS,16
162413,Jordan Shipley,WR,Texas,Big 12,receiving,LONG,56
162413,Jordan Shipley,WR,Texas,Big 12,receiving,REC,16
162413,Jordan Shipley,WR,Texas,Big 12,receiving,TD,4
162413,Jordan Shipley,WR,Texas,Big 12,receiving,YDS,229
162413,Jordan Shipley,WR,Texas,Big 12,receiving,YPR,14.3
162413,Jordan Shipley,WR,Texas,Big 12,rushing,CAR,7
162413,Jordan Shipley,WR,Texas,Big 12,rushing,LONG,40
162413,Jordan Shipley,WR,Texas,Big 12,rushing,TD,0
162413,Jordan Shipley,WR,Texas,Big 12,rushing,YDS,110
162413,Jordan Shipley,WR,Texas,Big 12,rushing,YPC,15.7
169065,Kevin Harris,RB,Wake Forest,ACC,receiving,LONG,8
169065,Kevin Harris,RB,Wake Forest,ACC,receiving,REC,5
169065,Kevin Harris,RB,Wake Forest,ACC,receiving,TD,0
169065,Kevin Harris,RB,Wake Forest,ACC,receiving,YDS,6
169065,Kevin Harris,RB,Wake Forest,ACC,receiving,YPR,1.2
169065,Kevin Harris,RB,Wake Forest,ACC,rushing,CAR,78
169065,Kevin Harris,RB,Wake Forest,ACC,rushing,LONG,41
169065,Kevin Harris,RB,Wake Forest,ACC,rushing,TD,6
169065,Kevin Harris,RB,Wake Forest,ACC,rushing,YDS,393
169065,Kevin Harris,RB,Wake Forest,ACC,rushing,YPC,5.0
169280,Mike Kafka,QB,Northwestern,Big Ten,passing,ATT,96
169280,Mike Kafka,QB,Northwestern,Big Ten,passing,COMPLETIONS,55
169280,Mike Kafka,QB,Northwestern,Big Ten,passing,INT,5
169280,Mike Kafka,QB,Northwestern,Big Ten,passing,PCT,0.573
169280,Mike Kafka,QB,Northwestern,Big Ten,passing,TD,1
169280,Mike Kafka,QB,Northwestern,Big Ten,passing,YDS,494
169280,Mike Kafka,QB,Northwestern,Big Ten,passing,YPA,5.1
